mes,data,investido,valor_def,valor_po,deficit_def,deficit_po,rent_def_corr,rent_po_corr,drift_RF_def,drift_RF_po,drift_RV_def,drift_RV_po
1,2023-08-01 19:26:01.122581,301614.42000000004,216288.98114427552,216288.98114427555,87780.8518353614,87780.85183536142,-28.289575430685478,-28.289575430685478,9.606533864879808,8.512922225670355,-9.606533864879497,-8.51292222567006
2,2023-09-01 19:26:01.122581,306614.42000000004,219674.46517040994,219686.06921148425,86156.98614187639,85639.90492087588,-28.35481606820387,-28.351031496990842,10.262442304018837,8.108094979815906,-10.262442304018526,-8.108094979815617
3,2023-10-01 19:26:01.122581,311614.42000000004,223855.48582405597,225311.77315268404,86422.27139447493,84180.35408249778,-28.162667881654535,-27.695331572690375,10.66169088918949,7.199908795723053,-10.661690889189185,-7.199908795722754
4,2023-11-01 19:26:01.122581,316614.42000000004,226388.43032466355,227285.37588948567,83899.09798364644,80649.339065548,-28.497119516962144,-28.21382680880876,11.343620577433388,7.909807281569997,-11.34362057743309,-7.909807281569703
5,2023-12-01 19:26:01.122581,321614.42000000004,241881.72019092986,243029.5977397496,85893.74381076309,82075.68876387816,-24.791394555340574,-24.434483460116763,9.37487058164248,5.167688210017795,-9.374870581642158,-5.167688210017496
6,2024-01-01 19:26:01.122581,326614.42000000004,254809.61471717307,256337.06345937532,87697.57939321954,83031.17192711658,-21.98457902833162,-21.516917881526698,8.262568680132759,3.1628587455224064,-8.262568680132464,-3.1628587455221235
7,2024-02-01 19:26:01.122581,331614.42000000004,259390.9121952309,260906.37255692514,86729.25442199782,80780.61556243157,-21.779362853029472,-21.322368141613047,8.620771421319434,2.6999068763091607,-8.620771421319128,-2.699906876308855
8,2024-03-01 19:26:01.122581,336614.42000000004,269154.5897766653,270764.72873818723,87499.640707501,80663.53596621426,-20.040683409621817,-19.562350080490553,8.134180763984416,1.4293341704966156,-8.134180763984133,-1.4293341704963214
9,2024-04-01 19:26:01.122581,341614.42000000004,276851.31065087643,279090.28649761394,88358.99866287019,80120.47659202035,-18.957955389916968,-18.30254516258011,8.060982926694289,0.6269972865718176,-8.060982926694004,-0.626997286571529
10,2024-05-01 19:26:01.122581,346614.42000000004,279396.0695591327,280381.7184763759,88056.35302918992,78580.38947247175,-19.392831504490594,-19.10846684440426,8.886574176527223,0.7889691827740408,-8.88657417652694,-0.7889691827737355
11,2024-06-01 19:26:01.122581,351614.42000000004,287468.15957531834,288403.4839118048,90426.98400517384,79817.8271182139,-18.243353166426367,-17.977344640244063,8.783714678799726,-0.06932998096449428,-8.783714678799415,0.06932998096478293
12,2024-07-01 19:26:01.122581,356614.42000000004,300027.2354066532,300599.7031420306,93377.53572962931,82547.17213838968,-15.867890197302403,-15.707361709593648,7.916341313704622,-1.5014641029958864,-7.916341313704334,1.5014641029962084
13,2024-08-01 19:26:01.122581,361614.42000000004,312140.1953903441,313111.7231416168,95742.18408683517,83954.33988266827,-13.681485547411508,-13.412821551304077,7.305520987537734,-2.7779922718759287,-7.30552098753744,2.777992271876195
14,2024-09-01 19:26:01.122581,366614.42000000004,325302.1570385094,326018.8160728098,97867.34207554616,85168.23908250885,-11.268586478810805,-11.073106160742462,6.572728277044304,-4.033795693432552,-6.572728277044004,4.03379569343284
15,2024-10-01 19:26:01.122581,371614.42000000004,326465.77897127887,325777.7064649483,97341.42573586688,82373.27431610017,-12.14932429928881,-12.334481943690923,7.617565752227218,-3.7992921851071615,-7.617565752226929,3.7992921851074724
16,2024-11-01 19:26:01.122581,376614.42000000004,334134.0903184547,334929.9618603776,100448.57575405456,84092.84534501092,-11.279528192665945,-11.068205550818389,7.76828019939027,-4.112979796534471,-7.768280199389988,4.112979796534766
17,2024-12-01 19:26:01.122581,381614.42000000004,344643.4540061028,347621.68371868995,106641.94228717426,90025.2250185784,-9.688042185066603,-8.90761315605162,7.5137492121245595,-5.187306713821488,-7.513749212124255,5.187306713821782
18,2025-01-01 19:26:01.122581,386614.42000000004,342833.97989116644,350434.8315198653,109380.82830642136,88892.41570004274,-11.324057728843528,-9.358054590962938,8.890570014235433,-5.305491289085512,-8.890570014235156,5.305491289085806
19,2025-02-01 19:26:01.122581,391614.42000000004,350794.6890535073,357874.6622486741,109269.68116938809,88193.3105347031,-10.423449408858021,-8.615555512824569,8.960962156573165,-5.785253793673384,-8.96096215657286,5.7852537936736725
20,2025-03-01 19:26:01.122581,396614.42000000004,351669.19688454247,359507.84832620056,109030.62947766978,84480.13202376782,-11.332221131913855,-9.355830197449578,10.118213544246291,-5.63469379526863,-10.118213544246002,5.634693795268952
21,2025-04-01 19:26:01.122581,401614.42000000004,361528.891889771,368566.3358433187,108631.92422837182,83607.87942678867,-9.981097817710094,-8.228809153984384,9.99134706441469,-6.1982161910918485,-9.991347064414363,6.198216191092154
22,2025-05-01 19:26:01.122581,406614.42000000004,368190.50083853386,374259.298367588,110023.86723493236,81809.17053418163,-9.449718768327543,-7.9571997550928035,10.294927180190228,-6.295203673357442,-10.294927180189916,6.295203673357763
23,2025-06-01 19:26:01.122581,411614.42000000004,373693.97594996914,379259.2983676335,110774.49736528605,80145.29548223461,-9.212613117400236,-7.860541336808991,10.408248510166818,-6.746002012065472,-10.408248510166501,6.746002012065788
24,2025-07-01 19:26:01.122581,416614.42000000004,379167.5548366002,384259.2983676335,111623.04399558113,78613.26283459565,-8.988374709497538,-7.766203011495987,10.547965974724816,-7.186278103112864,-10.547965974724494,7.186278103113186
