Mes,Data,Estrategia,Geo,Classe,Subclasses,Setor,Ativo,Ticker,Qnt_Total,Cotacao,Total,Pct_Atual,Pct_Ideal,Variacao,Qnt_Aportado,Valor_Aportado
1,2023-08-01 19:26:01.122581,Deficit,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,13862.74,1.0424586424490496,14451.333121024138,6.839605663655626,7.76972407385734,-0.9301184102017137,121.67695555680676,126.84319390708212
1,2023-08-01 19:26:01.122581,Deficit,BR,RF,Juros Pos,-,Fundo DI Simples,FDI,5100.0,1.0424586424490496,5316.539076490153,2.516240576151879,3.56112353385128,-1.044882957699401,123.33404558768143,128.57064173108358
1,2023-08-01 19:26:01.122581,Deficit,BR,RF,Juros Pos,-,Fundo Renda Fixa High Grade Credito Privado,FRFH,0.0,1.0424586424490496,0.0,0.0,2.58990802461911,-2.58990802461911,289.5819916532022,301.87724989648916
1,2023-08-01 19:26:01.122581,Deficit,BR,RF,Inflacao,-,Tesouro IPCA 2029,IPCA,6697.88,1.008816427534531,6756.931373654985,3.1979572891409394,5.17981604923822,-1.981858760097281,237.5264281305639,239.620562671713
1,2023-08-01 19:26:01.122581,Deficit,BR,RF,Inflacao,-,Tesouro IPCA 2050,IPCA,2400.0,1.008816427534531,2421.1594260828747,1.1458995225262705,1.94243101846433,-0.7965314959380596,95.09224103069779,95.9306148828411
1,2023-08-01 19:26:01.122581,Deficit,BR,RF,Inflacao,-,CDB Inflacao,CDBI,0.0,1.008816427534531,0.0,0.0,1.61869251538694,-1.61869251538694,187.0243941669429,188.6732811853053
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,Acoes,FIN,Banco do Brasil,BBAS3,110.0,21.316455841064453,2344.81014251709,1.1097645176848911,1.61869251538694,-0.5089279977020489,2.0,42.632911682128906
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,Acoes,FIN,Itau Unibanco,ITUB3,157.0,21.873735427856445,3434.176462173462,1.6253457438125871,1.94243101846433,-0.31708527465174297,1.0,21.873735427856445
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,Acoes,IND,Weg,WEGE3,0.0,38.67561340332031,0.0,0.0,0.64747700615477,-0.64747700615477,1.0,38.67561340332031
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,Acoes,UTL,Copel,CPLE6,112.0,7.707736968994141,863.2665405273438,0.40857149097513756,0.97121550923216,-0.5626440182570225,8.0,61.661895751953125
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,Acoes,FIN,Bradesco,BBDC4,240.0,14.332446098327637,3439.787063598633,1.6280011598190376,1.81293561723337,-0.18493445741433234,1.0,14.332446098327637
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,Acoes,CNC,Ambev,ABEV3,0.0,13.865477561950684,0.0,0.0,0.71222470677025,-0.71222470677025,5.0,69.32738780975342
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,Acoes,SD,Fleury,FLRY3,0.0,14.364409446716309,0.0,0.0,1.03596320984764,-1.03596320984764,8.0,114.91527557373047
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,Acoes,PG,Petrobras,PETR4,64.0,23.717632293701172,1517.928466796875,0.7184134537334819,1.61869251538694,-0.9002790616534582,4.0,94.87052917480469
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,Acoes,SD,Raia Drogasil,RADL3,0.0,28.105426788330078,0.0,0.0,1.10071091046312,-1.10071091046312,4.0,112.42170715332031
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,Acoes,UTL,Taesa,TAEE11,0.0,30.054975509643555,0.0,0.0,1.23020631169407,-1.23020631169407,4.0,120.21990203857422
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,Acoes,CC,SBF,SBFG3,0.0,12.371768951416016,0.0,0.0,0.97121550923216,-0.97121550923216,9.0,111.34592056274414
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,Acoes,BI,Suzano,SUZB3,0.0,45.48790740966797,0.0,0.0,1.42444941354051,-1.42444941354051,3.0,136.4637222290039
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,FIIs,HIB,Btg Pactual Terras Agri,BTCR11,0.0,7.396085739135742,0.0,0.0,0.84172010800121,-0.84172010800121,13.0,96.14911460876465
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,FIIs,HIB,Vinci Offices,VINO11,41.0,7.559884071350098,309.955246925354,0.14669730775676643,1.1654586110786,-1.0187613033218337,15.0,113.39826107025146
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,FIIs,HIB,Kinea Renda Imobiliaria,KNRI11,0.0,137.56858825683594,0.0,0.0,1.55394481477146,-1.55394481477146,1.0,137.56858825683594
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,FIIs,LAJ,CSHG Real Estate,HGRE11,0.0,118.20199584960938,0.0,0.0,1.10071091046312,-1.10071091046312,1.0,118.20199584960938
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,FIIs,LOG,Bresco Logistica,BRCO11,0.0,99.9593505859375,0.0,0.0,1.29495401230955,-1.29495401230955,1.0,99.9593505859375
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,FIIs,LOG,Patria Renda Imobiliaria,PATC11,0.0,55.25196075439453,0.0,0.0,1.1654586110786,-1.1654586110786,2.0,110.50392150878906
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,FIIs,LOG,Hedge Logistica,HGBS11,32.0,20.08193588256836,642.6219482421875,0.30414361636936604,1.42444941354051,-1.1203057971711439,6.0,120.49161529541016
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,FIIs,SHO,Iguatemi,IGTI11,0.0,20.48272705078125,0.0,0.0,0.9064678086166801,-0.9064678086166801,5.0,102.41363525390625
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,FIIs,REC,Kinea Rendimentos Imobiliarios,KNCR11,0.0,84.07276916503906,0.0,0.0,1.23020631169407,-1.23020631169407,1.0,84.07276916503906
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,FIIs,REC,Victoria Fundo de Fundos,VGIR11,0.0,7.437168598175049,0.0,0.0,0.71222470677025,-0.71222470677025,11.0,81.80885457992554
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,FIIs,REC,Maxi Renda,MXRF11,0.0,8.367040634155273,0.0,0.0,1.03596320984764,-1.03596320984764,14.0,117.13856887817383
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,FIIs,REC,RBR Rendimento High Grade,RBRR11,0.0,73.95210266113281,0.0,0.0,0.84172010800121,-0.84172010800121,1.0,73.95210266113281
1,2023-08-01 19:26:01.122581,Deficit,BR,RV,Criptoativos,-,Hashdex Crypto Index,HASH11,56.0,23.239999771118164,1301.4399871826172,0.6159526067731608,1.61869251538694,-1.0027399086137794,5.0,116.19999885559082
1,2023-08-01 19:26:01.122581,Deficit,US,RV,ETFs,-,Schwab Dividend Equity,SCHD,0.0,111.5728359543482,0.0,0.0,1.1654586110786,-1.1654586110786,1.0,111.5728359543482
1,2023-08-01 19:26:01.122581,PO,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,13862.74,1.0424586424490496,14451.333121024138,6.839605663655626,7.76972407385734,-0.9301184102017137,86.888916,90.5781014172295
1,2023-08-01 19:26:01.122581,PO,US,RV,ETFs,-,Vanguard Total World Stock,VT,0.0,456.44644598192826,0.0,0.0,1.29495401230955,-1.29495401230955,6.0,2738.6786758915696
1,2023-08-01 19:26:01.122581,PO,US,RV,ETFs,-,Vanguard Total Stock Market,VTI,0.0,1048.9875852399564,0.0,0.0,1.61869251538694,-1.61869251538694,1.0,1048.9875852399564
1,2023-08-01 19:26:01.122581,PO,US,RV,ETFs,-,iShares SP 500 Small Caps,IJS,0.0,460.09955123849795,0.0,0.0,1.10071091046312,-1.10071091046312,1.0,460.09955123849795
1,2023-08-01 19:26:01.122581,PO,US,RV,ETFs,-,Vanguard Value,VTV,0.0,661.6560860335012,0.0,0.0,0.41803645339510004,-0.41803645339510004,1.0,661.6560860335012
1,2023-08-01 19:26:01.122581,Deficit,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,15358.840985000084,1.0424586424490496,15952.600344374498,7.375595492649401,7.76972407385734,-0.3941285812079389,1374.4240294432784,1374.4240294432784
1,2023-08-01 19:26:01.122581,PO,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,13949.628916179245,1.0424586424490496,14541.911222620613,6.723371271937534,7.76972407385734,-1.0463528019198058,1.7924503481481224e-07,1.7924503481481224e-07
2,2023-09-01 19:26:01.122581,Deficit,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,15358.840985000084,1.0543426709729689,16193.481427174092,7.543273213383625,7.76972407385734,-0.2264508604737152,45.75812944730591,48.24474842019937
2,2023-09-01 19:26:01.122581,Deficit,BR,RF,Juros Pos,-,Fundo DI Simples,FDI,5223.334045587681,1.0543426709729689,5507.183969008959,2.5653651749579636,3.56112353385128,-0.9957583588933163,121.15212676243532,127.73585692476175
2,2023-09-01 19:26:01.122581,Deficit,BR,RF,Juros Pos,-,Fundo Renda Fixa High Grade Credito Privado,FRFH,289.5819916532022,1.0543426709729689,305.31865054530914,0.1422240182608329,2.58990802461911,-2.447684006358277,281.6816676702675,296.98900185559
2,2023-09-01 19:26:01.122581,Deficit,BR,RF,Inflacao,-,Tesouro IPCA 2029,IPCA,6935.406428130564,1.0111367053178604,7012.644005780248,3.266640958072758,5.17981604923822,-1.9131750911654626,238.1848726293477,240.83746736699285
2,2023-09-01 19:26:01.122581,Deficit,BR,RF,Inflacao,-,Tesouro IPCA 2050,IPCA,2495.092241030698,1.0111367053178604,2522.8793480599365,1.1752116610875258,1.94243101846433,-0.7672193573768042,95.1490177016472,96.20866427307432
2,2023-09-01 19:26:01.122581,Deficit,BR,RF,Inflacao,-,CDB Inflacao,CDBI,187.0243941669429,1.0111367053178604,189.1072297320315,0.08809022981932993,1.61869251538694,-1.53060228556761,183.6673838824246,185.7128334132255
2,2023-09-01 19:26:01.122581,Deficit,BR,RV,Acoes,UTL,Cemig,CMIG4,210.0,7.337075233459473,1540.7857990264893,0.7177312857416013,0.77697240738573,-0.05924112164412876,1.0,7.337075233459473
2,2023-09-01 19:26:01.122581,Deficit,BR,RV,Acoes,FIN,Banco do Brasil,BBAS3,112.0,21.13111114501953,2366.6844482421875,1.1024527050124469,1.61869251538694,-0.5162398103744932,3.0,63.393333435058594
2,2023-09-01 19:26:01.122581,Deficit,BR,RV,Acoes,FIN,Itau Unibanco,ITUB3,158.0,20.6010799407959,3254.970630645752,1.5162355839861699,1.94243101846433,-0.4261954344781602,2.0,41.2021598815918
2,2023-09-01 19:26:01.122581,Deficit,BR,RV,Acoes,IND,Weg,WEGE3,1.0,34.761558532714844,34.761558532714844,0.01619268435354941,0.64747700615477,-0.6312843218012206,2.0,69.52311706542969
2,2023-09-01 19:26:01.122581,Deficit,BR,RV,Acoes,UTL,Copel,CPLE6,120.0,7.984330177307129,958.1196212768555,0.44631280227776227,0.97121550923216,-0.5249027069543978,8.0,63.87464141845703
2,2023-09-01 19:26:01.122581,Deficit,BR,RV,Acoes,FIN,Bradesco,BBDC4,241.0,12.876049041748047,3103.1278190612793,1.445503924557584,1.81293561723337,-0.3674316926757859,3.0,38.62814712524414
2,2023-09-01 19:26:01.122581,Deficit,BR,RV,Acoes,CNC,Ambev,ABEV3,5.0,12.91374397277832,64.5687198638916,0.030077503541297537,0.71222470677025,-0.6821472032289524,6.0,77.48246383666992
