mes,data,investido,valor_def,valor_po,deficit_def,deficit_po,rent_def_corr,rent_po_corr,drift_RF_def,drift_RF_po,drift_RV_def,drift_RV_po
1,2023-08-01 19:25:09.048651,300114.42000000004,217304.64629470493,217304.64629470493,89113.78426450997,89113.78426450997,-27.592734033004852,-27.592734033004852,10.308395688426074,9.449607136118033,-10.308395688425776,-9.449607136117733
2,2023-09-01 19:25:09.048651,303614.42000000004,219266.67152136698,219220.88722356898,88265.64238271303,87495.90041884336,-27.78120633355723,-27.796286084314126,11.140180110073006,9.428598788867848,-11.140180110072716,-9.428598788867559
3,2023-10-01 19:25:09.048651,307114.42000000004,222512.55797974174,223424.95869966084,89005.48908414679,86519.51806141938,-27.54734278522587,-27.250254579494893,11.656065715260711,8.924307098219304,-11.656065715260421,-8.924307098218998
4,2023-11-01 19:25:09.048651,310614.42000000004,223688.02288206475,224122.28833362582,87226.9238852856,83422.34378784652,-27.98530638659187,-27.845497857560574,12.603990006345489,9.098570467956563,-12.6039900063452,-9.098570467956268
5,2023-12-01 19:25:09.048651,314114.42000000004,237606.16816324994,238279.4277877024,89830.66847121381,85553.95484131027,-24.356809800947723,-24.142474010679805,10.68649942810409,6.563305303683553,-10.686499428103795,-6.563305303683231
6,2024-01-01 19:25:09.048651,317614.42000000004,248791.07523361442,249755.281926607,92437.35934642992,87267.2692679801,-21.66883505049475,-21.36525730582165,9.72338983862734,4.796991930871297,-9.72338983862706,-4.796991930870986
7,2024-02-01 19:25:09.048651,321114.42000000004,251981.80011876003,252725.96262030702,92410.18414170717,85532.29754641277,-21.52896773718228,-21.297224017436843,10.35633742836366,4.5659182210786575,-10.35633742836335,-4.565918221078369
8,2024-03-01 19:25:09.048651,324614.42000000004,260153.0786008327,261080.42850808435,93712.67201991095,85670.84739716952,-19.857818207572954,-19.572140846951804,9.997748936801553,3.4472107929472804,-9.997748936801237,-3.4472107929469864
9,2024-04-01 19:25:09.048651,328114.42000000004,266130.34928711114,267653.38749216124,94978.68590847104,85323.66192634561,-18.890992572922848,-18.426813581627655,10.067659332622526,2.644704818935434,-10.06765933262222,-2.6447048189351174
10,2024-05-01 19:25:09.048651,331614.42000000004,267595.70815269294,267566.0429953922,95265.15888995404,84094.81482703846,-19.305165272157677,-19.314110949882036,11.054929354467324,2.9475197212853965,-11.054929354466998,-2.947519721285108
11,2024-06-01 19:25:09.048651,335114.42000000004,274376.17034206126,274146.9722988022,97788.87172712931,85333.18079029908,-18.124630285363065,-18.193024251596757,10.998111100859687,2.2109134520086893,-10.998111100859386,-2.2109134520083895
12,2024-07-01 19:25:09.048651,338614.42000000004,284894.9420026639,284455.8360996921,101112.4447815267,87585.66194980642,-15.864498032108653,-15.994175292448542,10.240008061990624,0.9064139542026228,-10.24000806199033,-0.9064139542023342
13,2024-08-01 19:25:09.048651,342114.42000000004,295269.15239274595,295106.8463215211,104089.85052189401,89604.75593286165,-13.69286556446644,-13.740307607752678,9.672487937566142,-0.27837735604064884,-9.672487937565844,0.2783773560409708
14,2024-09-01 19:25:09.048651,345614.42000000004,306510.1448434846,305921.7403167834,106723.69668404658,90806.43771239709,-11.314422342828001,-11.484671178713146,8.980564369982647,-0.9146570033717882,-8.98056436998237,0.914657003372088
15,2024-10-01 19:25:09.048651,349114.42000000004,306823.56054744753,305031.74010462593,106094.86289222186,88473.7475316601,-12.113753265348503,-12.627000596358673,10.017566470770166,-0.5716356120268384,-10.017566470769879,0.5716356120271548
16,2024-11-01 19:25:09.048651,352614.42000000004,313005.8761338462,312781.1806572413,108728.40310035685,89832.98421436307,-11.232820219364214,-11.296542932860977,10.120487550493184,-1.3054429973545112,-10.120487550492923,1.3054429973547887
17,2024-12-01 19:25:09.048651,356114.42000000004,322170.45766906714,323992.7054981414,113755.93603884464,95781.89536824382,-9.53175732983037,-9.020054425726043,9.706139406692893,-2.386578504831233,-9.706139406692582,2.386578504831527
18,2025-01-01 19:25:09.048651,359614.42000000004,320207.4544718215,326297.1158985463,116541.16173927636,94612.46876463728,-10.9581160644722,-9.264729735101762,11.062149347419592,-2.4663630047389584,-11.062149347419293,2.4663630047392804
19,2025-02-01 19:25:09.048651,363114.42000000004,325061.63262595,330398.9844092572,117639.29693152051,93528.96603144609,-10.479558309485492,-9.009676781974907,11.371816283181468,-2.7552014874489164,-11.371816283181158,2.7552014874492103
20,2025-03-01 19:25:09.048651,366614.42000000004,328975.86876541725,333898.9844092601,118294.20657573311,92520.30144284405,-10.266522313711167,-8.9236630656099,11.540479998890675,-3.052824141432403,-11.540479998890362,3.052824141432686
21,2025-04-01 19:25:09.048651,370114.42000000004,332893.82588881266,337398.9844102622,118959.70576562746,91620.63214253438,-10.056510122244733,-8.839276132428953,11.697240536387133,-3.438331919182158,-11.697240536386827,3.438331919182447
22,2025-05-01 19:25:09.048651,373614.42000000004,336804.0224963452,340898.9844102622,119844.73313561102,90720.96284248232,-9.852509842541624,-8.756470264112892,11.879392739178185,-3.819462081102598,-11.879392739177879,3.8194620811028868
23,2025-06-01 19:25:09.048651,377114.42000000004,340740.1265486423,344398.9844103424,120686.51724486287,89859.65930256664,-9.64542630095071,-8.675201438772252,12.043960288889444,-4.184191085859918,-12.043960288889139,4.184191085860234
24,2025-07-01 19:25:09.048651,380614.42000000004,344659.8885649883,347898.9844103424,121393.16123564873,89000.78105390233,-9.44644489166011,-8.59542725408502,12.167704956806713,-4.547103079131082,-12.167704956806402,4.547103079131398
