Mes,Data,Estrategia,Geo,Classe,Subclasses,Setor,Ativo,Ticker,Qnt_Total,Cotacao,Total,Pct_Atual,Pct_Ideal,Variacao,Qnt_Aportado,Valor_Aportado
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Acoes,CC,SBF,SBFG3,4.0,6.6963019371032715,26.785207748413086,0.012661217780655681,0.97121550923216,-0.9585542914515044,8.0,53.57041549682617
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Acoes,COM,Tim,TIMS3,158.0,3.0460822582244873,481.280996799469,0.2274988333637303,1.03596320984764,-0.8084643764839096,15.0,45.69123387336731
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Acoes,BI,Suzano,SUZB3,1.0,47.456180572509766,47.456180572509766,0.022432270935149472,1.42444941354051,-1.4020171426053605,1.0,47.456180572509766
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,FIIs,HIB,Btg Pactual Terras Agri,BTCR11,6.0,7.587073802947998,45.52244281768799,0.021518203921951667,0.84172010800121,-0.8202019040792583,6.0,45.52244281768799
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,FIIs,HIB,Vinci Offices,VINO11,48.0,7.488334655761719,359.4400634765625,0.169905306149402,1.1654586110786,-0.995553304929198,7.0,52.41834259033203
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,FIIs,LOG,Patria Renda Imobiliaria,PATC11,1.0,57.4859733581543,57.4859733581543,0.027173297846221994,1.1654586110786,-1.138285313232378,1.0,57.4859733581543
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,FIIs,LOG,Hedge Logistica,HGBS11,35.0,20.10836410522461,703.7927436828613,0.33267889067396994,1.42444941354051,-1.09177052286654,3.0,60.32509231567383
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,FIIs,SHO,Iguatemi,IGTI11,2.0,19.284467697143555,38.56893539428711,0.01823131988304402,0.9064678086166801,-0.888236488733636,2.0,38.56893539428711
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,FIIs,REC,Victoria Fundo de Fundos,VGIR11,5.0,7.61572265625,38.07861328125,0.017999547364639643,0.71222470677025,-0.6942251594056104,5.0,38.07861328125
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,FIIs,REC,Maxi Renda,MXRF11,7.0,8.65894603729248,60.61262226104736,0.028651247282157306,1.03596320984764,-1.0073119625654825,6.0,51.95367622375488
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Criptoativos,-,Hashdex Crypto Index,HASH11,58.0,21.459999084472656,1244.679946899414,0.5883532441835213,1.61869251538694,-1.0303392712034187,2.0,42.91999816894531
2,2023-09-01 22:50:08.128139,PO,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,13868.9572553,1.0447311444440832,14489.33158557564,6.8518940834693804,7.76972407385734,-0.9178299903879594,2.2257129,2.325271585220959
2,2023-09-01 22:50:08.128139,PO,BR,RV,Acoes,BI,Suzano,SUZB3,0.0,47.456180572509766,0.0,0.0,1.42444941354051,-1.42444941354051,52.0,2467.721389770508
2,2023-09-01 22:50:08.128139,PO,BR,RV,FIIs,HIB,Vinci Offices,VINO11,41.0,7.488334655761719,307.02172088623047,0.1451882235155138,1.1654586110786,-1.0202703875630863,4.0,29.953338623046875
2,2023-09-01 22:50:08.128139,Deficit,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,16144.79051915661,1.0447311444440832,16817.379121498925,7.856636280720192,7.76972407385734,0.08691220686285206,1108.54204616937,1108.54204616937
2,2023-09-01 22:50:08.128139,PO,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,13871.182968221225,1.0447311444440832,14491.656857182086,6.772922110067875,7.76972407385734,-0.9968019637894647,2.122442310792394e-08,2.122442310792394e-08
3,2023-10-01 22:50:08.128139,Deficit,BR,RF,Juros Pos,-,Fundo DI Simples,FDI,5221.640270525932,1.0548650365451908,5508.125754794177,2.563648140049074,3.56112353385128,-0.9974753938022061,59.55583810635377,62.82337134053834
3,2023-10-01 22:50:08.128139,Deficit,BR,RF,Juros Pos,-,Fundo Renda Fixa High Grade Credito Privado,FRFH,291.55542424725627,1.0548650365451908,307.5516232535306,0.14314381733872547,2.58990802461911,-2.446764207280385,141.9888063502507,149.77902739966524
3,2023-10-01 22:50:08.128139,Deficit,BR,RF,Inflacao,-,Tesouro IPCA 2029,IPCA,6934.621274411208,1.0076191837309283,6987.457428005351,3.2521737949404126,5.17981604923822,-1.9276422542978078,119.30086589016297,120.20984110663896
3,2023-10-01 22:50:08.128139,Deficit,BR,RF,Inflacao,-,Tesouro IPCA 2050,IPCA,2494.8943400112653,1.0076191837309283,2513.903398377064,1.1700465926913517,1.94243101846433,-0.7723844257729784,47.709588840711476,48.0730969638159
3,2023-10-01 22:50:08.128139,Deficit,BR,RF,Inflacao,-,CDB Inflacao,CDBI,188.58780797567982,1.0076191837309283,190.02469313405956,0.08844323328902126,1.61869251538694,-1.5302492820979188,92.96535173009917,93.67367182554118
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Acoes,FIN,Banco do Brasil,BBAS3,112.0,21.67047691345215,2427.0934143066406,1.1296426033659215,1.61869251538694,-0.48904991202101855,1.0,21.67047691345215
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Acoes,FIN,Itau Unibanco,ITUB3,159.0,19.267166137695312,3063.4794158935547,1.4258358752609133,1.94243101846433,-0.5165951432034168,1.0,19.267166137695312
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Acoes,IND,Weg,WEGE3,1.0,35.20027542114258,35.20027542114258,0.016383271666243822,0.64747700615477,-0.6310937344885261,1.0,35.20027542114258
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Acoes,UTL,Copel,CPLE6,120.0,8.260923385620117,991.3108062744141,0.4613859991311896,0.97121550923216,-0.5098295101009704,3.0,24.78277015686035
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Acoes,FIN,Bradesco,BBDC4,241.0,12.331830024719238,2971.9710359573364,1.383245110549668,1.81293561723337,-0.429690506683702,2.0,24.663660049438477
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Acoes,CNC,Ambev,ABEV3,6.0,11.59359359741211,69.56156158447266,0.032376052384012095,0.71222470677025,-0.6798486543862379,3.0,34.78078079223633
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Acoes,SD,Fleury,FLRY3,8.0,13.6650972366333,109.3207778930664,0.050881192875878715,1.03596320984764,-0.9850820169717612,4.0,54.6603889465332
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Acoes,PG,Petrobras,PETR4,67.0,27.415502548217773,1836.8386707305908,0.8549202126857858,1.61869251538694,-0.7637723027011543,1.0,27.415502548217773
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Acoes,SD,Raia Drogasil,RADL3,4.0,26.930400848388672,107.72160339355469,0.0501368887488862,1.10071091046312,-1.0505740217142339,2.0,53.860801696777344
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Acoes,UTL,Taesa,TAEE11,4.0,29.59351348876953,118.37405395507812,0.05509486107645059,1.23020631169407,-1.1751114506176195,2.0,59.18702697753906
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Acoes,MAT,CSN,CSNA3,196.0,10.460803031921387,2050.317394256592,0.9542796603220595,1.1654586110786,-0.21117895075654058,1.0,10.460803031921387
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Acoes,CC,SBF,SBFG3,12.0,6.387241840362549,76.64690208435059,0.035673783917885754,0.97121550923216,-0.9355417253142743,8.0,51.09793472290039
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Acoes,COM,Tim,TIMS3,173.0,3.184453248977661,550.9104120731354,0.2564103501115031,1.03596320984764,-0.7795528597361367,15.0,47.76679873466492
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Acoes,BI,Suzano,SUZB3,2.0,51.36433410644531,102.72866821289062,0.04781302586718746,1.42444941354051,-1.3766363876733225,1.0,51.36433410644531
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,FIIs,HIB,Btg Pactual Terras Agri,BTCR11,12.0,7.9078288078308105,94.89394569396973,0.04416650930101246,0.84172010800121,-0.7975535987001976,6.0,47.44697284698486
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,FIIs,HIB,Vinci Offices,VINO11,55.0,6.940010070800781,381.70055389404297,0.17765496987690504,1.1654586110786,-0.9878036412016951,8.0,55.52008056640625
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,FIIs,LOG,Patria Renda Imobiliaria,PATC11,2.0,60.089317321777344,120.17863464355469,0.055934767449603885,1.1654586110786,-1.1095238436289963,1.0,60.089317321777344
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,FIIs,LOG,Hedge Logistica,HGBS11,38.0,20.33274269104004,772.6442222595215,0.3596119644856042,1.42444941354051,-1.0648374490549057,3.0,60.99822807312012
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,FIIs,SHO,Iguatemi,IGTI11,4.0,18.956819534301758,75.82727813720703,0.03529230617006829,0.9064678086166801,-0.8711755024466118,2.0,37.913639068603516
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,FIIs,REC,Victoria Fundo de Fundos,VGIR11,10.0,7.710466384887695,77.10466384887695,0.03588684007318362,0.71222470677025,-0.6763378666970663,5.0,38.55233192443848
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,FIIs,REC,Maxi Renda,MXRF11,13.0,8.82624340057373,114.7411642074585,0.05340400442954449,1.03596320984764,-0.9825592054180954,6.0,52.95746040344238
3,2023-10-01 22:50:08.128139,Deficit,BR,RV,Criptoativos,-,Hashdex Crypto Index,HASH11,60.0,22.399999618530273,1343.9999771118164,0.6255381948296596,1.61869251538694,-0.9931543205572805,2.0,44.79999923706055
3,2023-10-01 22:50:08.128139,PO,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,13871.182968221225,1.0548650365451908,14632.225928697711,6.809213280034183,7.76972407385734,-0.9605107938231567,0.55974012,0.5904502821396095
3,2023-10-01 22:50:08.128139,PO,BR,RV,Acoes,MAT,CSN,CSNA3,195.0,10.460803031921387,2039.8565912246704,0.9492621736444511,1.1654586110786,-0.21619643743414896,4.0,41.84321212768555
3,2023-10-01 22:50:08.128139,PO,BR,RV,FIIs,LAJ,CSHG Real Estate,HGRE11,0.0,114.0610122680664,0.0,0.0,1.10071091046312,-1.10071091046312,1.0,114.0610122680664
3,2023-10-01 22:50:08.128139,PO,BR,RV,FIIs,REC,Kinea Rendimentos Imobiliarios,KNCR11,0.0,86.79649353027344,0.0,0.0,1.23020631169407,-1.23020631169407,27.0,2343.505325317383
3,2023-10-01 22:50:08.128139,Deficit,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,17255.774760842753,1.0548650365451908,18141.55928269073,8.346511821192177,7.76972407385734,0.5767877473348371,1110.9842416861422,1110.9842416861422
3,2023-10-01 22:50:08.128139,PO,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,13871.74270834595,1.0548650365451908,14632.816378984575,6.731177978659423,7.76972407385734,-1.0385460951979173,4.725734470412135e-09,4.725734470412135e-09
4,2023-11-01 22:50:08.128139,Deficit,BR,RF,Juros Pos,-,Fundo DI Simples,FDI,5281.196108632285,1.0654136869106428,5626.658617396062,2.6175249182381193,3.56112353385128,-0.9435986156131606,56.89437691734598,60.61604787599335
4,2023-11-01 22:50:08.128139,Deficit,BR,RF,Juros Pos,-,Fundo Renda Fixa High Grade Credito Privado,FRFH,433.54423059750695,1.0654136869106428,461.9039571597278,0.21487799419007744,2.58990802461911,-2.375030030429033,138.92135146709228,148.008709257164
4,2023-11-01 22:50:08.128139,Deficit,BR,RF,Inflacao,-,Tesouro IPCA 2029,IPCA,7053.922140301371,1.0100374697718826,7124.725670557859,3.3144265978102916,5.17981604923822,-1.8653894514279288,117.32228535544913,118.49990424827263
4,2023-11-01 22:50:08.128139,Deficit,BR,RF,Inflacao,-,Tesouro IPCA 2050,IPCA,2542.603928851977,1.0100374697718826,2568.1252389296983,1.1946933807698494,1.94243101846433,-0.7477376376944807,46.93353382774253,47.40462775482612
4,2023-11-01 22:50:08.128139,Deficit,BR,RF,Inflacao,-,CDB Inflacao,CDBI,281.55315970577897,1.0100374697718826,284.37924103550375,0.13229339120356284,1.61869251538694,-1.4863991241833772,91.70832969955245,92.62884928674156
4,2023-11-01 22:50:08.128139,Deficit,BR,RV,Acoes,FIN,Banco do Brasil,BBAS3,113.0,22.207874298095703,2509.4897956848145,1.1674161378763668,1.61869251538694,-0.45127637751057326,1.0,22.207874298095703
4,2023-11-01 22:50:08.128139,Deficit,BR,RV,Acoes,FIN,Itau Unibanco,ITUB3,160.0,18.983083724975586,3037.2933959960938,1.4129506850549056,1.94243101846433,-0.5294803334094245,1.0,18.983083724975586
4,2023-11-01 22:50:08.128139,Deficit,BR,RV,Acoes,IND,Weg,WEGE3,2.0,32.03641891479492,64.07283782958984,0.029806722071721546,0.64747700615477,-0.6176702840830485,1.0,32.03641891479492
4,2023-11-01 22:50:08.128139,Deficit,BR,RV,Acoes,UTL,Copel,CPLE6,123.0,8.035309791564941,988.3431043624878,0.4597777969751545,0.97121550923216,-0.5114377122570055,4.0,32.141239166259766
4,2023-11-01 22:50:08.128139,Deficit,BR,RV,Acoes,FIN,Bradesco,BBDC4,243.0,12.080756187438965,2935.6237535476685,1.3656539072275935,1.81293561723337,-0.44728171000577643,2.0,24.16151237487793
4,2023-11-01 22:50:08.128139,Deficit,BR,RV,Acoes,CNC,Ambev,ABEV3,9.0,11.37251091003418,102.35259819030762,0.04761448924255675,0.71222470677025,-0.6646102175276932,3.0,34.11753273010254
4,2023-11-01 22:50:08.128139,Deficit,BR,RV,Acoes,SD,Fleury,FLRY3,12.0,13.520779609680176,162.2493553161621,0.07547849609981601,1.03596320984764,-0.9604847137478238,4.0,54.0831184387207
4,2023-11-01 22:50:08.128139,Deficit,BR,RV,Acoes,PG,Petrobras,PETR4,68.0,27.494646072387695,1869.6359329223633,0.8697557423027823,1.61869251538694,-0.7489367730841577,1.0,27.494646072387695
4,2023-11-01 22:50:08.128139,Deficit,BR,RV,Acoes,SD,Raia Drogasil,RADL3,6.0,25.204193115234375,151.22515869140625,0.07035003330670467,1.10071091046312,-1.0303608771564154,2.0,50.40838623046875
