mes,data,investido,valor_def,valor_po,deficit_def,deficit_po,rent_def_corr,rent_po_corr,drift_RF_def,drift_RF_po,drift_RV_def,drift_RV_po
1,2023-08-01 19:23:57.371847,304114.42000000004,218046.39941319867,218046.39941810165,86669.90570617383,86669.90570448813,-28.301196828089036,-28.301196826476815,9.294914400001602,7.877822678605795,-9.294914400001309,-7.8778226786054955
2,2023-09-01 19:23:57.371847,311614.42000000004,223898.0889632721,223913.35485225538,84356.38296688707,83675.67174788156,-28.148996133339377,-28.144097165896454,9.680952206545834,7.097186436848096,-9.68095220654554,-7.097186436847814
3,2023-10-01 19:23:57.371847,319114.42000000004,229725.61523739746,231886.15354999245,84431.59648117442,81469.23282868878,-28.011521623686754,-27.334479729874815,10.11860470051854,5.740607904524642,-10.11860470051823,-5.740607904524353
4,2023-11-01 19:23:57.371847,326614.42000000004,234677.61744554204,235983.9804396251,81695.620912907,77303.49591913211,-28.14842117333889,-27.748450163460305,10.75812336371178,5.961002934608523,-10.758123363711485,-5.961002934608217
5,2023-12-01 19:23:57.371847,334114.42000000004,253002.22658282222,254738.45381965133,82892.60548484873,77381.50015558208,-24.27677123818176,-23.757120743351546,8.792605587836933,3.100809705018992,-8.792605587836643,-3.100809705018681
6,2024-01-01 19:23:57.371847,341614.42000000004,268874.02362107224,271202.5436562223,84077.06480257475,77182.1083545897,-21.293128193747734,-20.61150590299372,7.648629229315751,0.8031501165730537,-7.6486292293154285,-0.8031501165727484
7,2024-02-01 19:23:57.371847,349114.42000000004,275881.4484035066,277650.92596249795,83435.78319379567,74888.17527589084,-20.976782224146874,-20.46993476737572,8.105621787091161,0.38142702285010044,-8.105621787090877,-0.3814270228498118
8,2024-03-01 19:23:57.371847,356614.42000000004,288483.0889174703,290003.0219559209,84616.81374280735,74640.42930460606,-19.10504098026371,-18.67882909616474,7.679759268379049,1.2117304258000394,-7.679759268378761,-1.2117304257997508
9,2024-04-01 19:23:57.371847,364114.42000000004,299093.0003637507,300735.12020291,85558.66604213585,73666.44036859185,-17.857414061285837,-17.406424001853605,7.5426612958928665,-0.04408248416017946,-7.542661295892605,0.044082484160457014
10,2024-05-01 19:23:57.371847,371614.42000000004,303601.2437659365,304117.3086014436,85528.7869032047,71560.83013478082,-18.3020820973695,-18.16321105046366,8.462849529609034,0.666040319261213,-8.46284952960874,-0.6660403192608855
11,2024-06-01 19:23:57.371847,379114.42000000004,314264.6341481188,314528.2513742363,88454.11692702908,72100.62445996398,-17.105597263190685,-17.03606225945289,8.454486740812106,-0.3252393521322616,-8.454486740811795,0.32523935213255584
12,2024-07-01 19:23:57.371847,386614.42000000004,330203.9015551874,329764.79669489036,91929.01699341294,74687.7256204798,-14.590898716300494,-14.704475664697059,7.629908827356213,-1.2835946366504314,-7.629908827355925,1.2835946366507534
13,2024-08-01 19:23:57.371847,394114.42000000004,345475.6271891396,345087.4752782241,94669.6934457728,75403.28236686818,-12.34128728678855,-12.439774398961589,7.110209984550836,-1.6519503271702707,-7.110209984550542,1.6519503271705704
14,2024-09-01 19:23:57.371847,401614.42000000004,362054.7735231862,361800.8582872,96552.71416762393,76134.54888054376,-9.850155897493373,-9.91337953273691,6.491287058696926,-3.2316608307920713,-6.491287058696638,3.2316608307923933
15,2024-10-01 19:23:57.371847,409114.42000000004,365503.6851971895,363679.9989570932,96771.31807816282,73564.28389910673,-10.659789210756864,-11.105553561985626,7.538543256295471,-2.763064813060845,-7.5385432562951715,2.7630648130611446
16,2024-11-01 19:23:57.371847,416614.42000000004,375824.1575628816,375081.67225264455,100440.04684562232,74879.48339520808,-9.790890684273112,-9.969109505944484,7.7651406753137415,-3.680796150106552,-7.765140675313442,3.6807961501068687
17,2024-12-01 19:23:57.371847,424114.42000000004,389015.4505043164,390248.48498009547,107121.54621675758,80551.47263973541,-8.275825541532777,-7.985093980040714,7.565037427793913,-4.859909796035755,-7.56503742779363,4.859909796036055
18,2025-01-01 19:23:57.371847,431614.42000000004,388044.66617673455,395089.1378053196,110498.77951389842,78874.72062297123,-10.094601061583042,-8.462479588768234,9.042098701146923,-5.126552578658239,-9.042098701146617,5.12655257865855
19,2025-02-01 19:23:57.371847,439114.42000000004,399018.7584034086,404862.9557377655,110608.61232411684,77239.03033686722,-9.131028217336034,-7.800122861425174,9.137952041978103,-4.738602187298962,-9.137952041977805,4.738602187299268
20,2025-03-01 19:23:57.371847,446614.42000000004,401847.98891871766,408959.93493216805,110764.16159261913,72921.3932099196,-10.023507767904672,-8.43109478369104,10.329633879258926,-3.2172676913808984,-10.329633879258637,3.217267691381198
21,2025-04-01 19:23:57.371847,454114.42000000004,415519.42412124935,421175.476344583,110037.1361657968,70024.37976827678,-8.498958451649852,-7.253445872830255,10.124141099856487,-4.006471132990708,-10.124141099856182,4.0064711329910185
22,2025-05-01 19:23:57.371847,461614.42000000004,432867.27946115355,438790.7269958793,111846.92665526649,73438.96071640415,-6.227522211902848,-4.944319764560367,9.560516103287608,-3.7977395110199765,-9.560516103287314,3.7977395110202816
23,2025-06-01 19:23:57.371847,469114.42000000004,442535.3018026828,447171.50779545255,113047.16605810396,70758.05835967415,-5.665807117444233,-4.677518163809058,9.770759849053546,-4.290863203301293,-9.77075984905325,4.290863203301598
24,2025-07-01 19:23:57.371847,476614.42000000004,450591.2680105362,454671.5078425893,113805.60570135832,68301.40032056457,-5.460000977197421,-4.603912772385432,9.867614420976611,-3.7484893480279724,-9.867614420976324,3.74848934802825
